"poll_id","candidate_name","pct","sample_size","state"
1,"Kamala Harris",37.1421283576638,1019,"WA"
2,"Kamala Harris",49.5073002623394,624,"OK"
3,"Kamala Harris",37.6875704526901,1090,"WY"
4,"Donald Trump",39.7734707035124,1390,"MT"
5,"Kamala Harris",39.8155246255919,1393,"OH"
6,"Donald Trump",30.2450924832374,803,"OK"
7,"Donald Trump",42.8294640127569,1046,"HI"
8,"Donald Trump",40.2514994330704,1001,"MO"
9,"Kamala Harris",36.4070423645899,627,"UT"
10,"Joe Biden",41.6286631533876,882,"IL"
11,"Donald Trump",42.346888165921,1296,"LA"
12,"Donald Trump",38.7654907535762,306,"TX"
13,"Joe Biden",33.4073796123266,555,"DE"
14,"Donald Trump",44.301609932445,1336,"KS"
15,"Kamala Harris",44.9557309737429,1151,"IA"
16,"Joe Biden",46.8782941624522,1012,"NM"
17,"Kamala Harris",40.6951809395105,544,"MA"
18,"Kamala Harris",36.0447052307427,1031,"NM"
19,"Joe Biden",39.1303636413068,372,"WY"
20,"Joe Biden",37.6868506893516,1035,"OR"
21,"Joe Biden",34.9809370934963,546,"CT"
22,"Joe Biden",43.0925348959863,719,"NM"
23,"Kamala Harris",49.1064740344882,1357,"NM"
24,"Donald Trump",35.8216591458768,1209,"WY"
25,"Kamala Harris",43.0037817312405,1141,"WY"
26,"Donald Trump",40.7271986175328,786,"TN"
27,"Joe Biden",41.9490373320878,827,"OR"
28,"Donald Trump",30.4979653889313,909,"KS"
29,"Kamala Harris",30.0968347908929,885,"HI"
30,"Donald Trump",32.6275650877506,542,"FL"
31,"Joe Biden",30.4963420750573,493,"FL"
32,"Kamala Harris",31.8425890384242,1472,"AL"
33,"Kamala Harris",39.5111644826829,435,"MO"
34,"Joe Biden",33.9331352245063,588,"WY"
35,"Kamala Harris",46.2934789713472,1213,"NE"
36,"Donald Trump",34.8811845621094,675,"NV"
37,"Joe Biden",39.7761527588591,827,"PA"
38,"Kamala Harris",42.9776495927945,1071,"ND"
39,"Joe Biden",33.1743294000626,466,"NV"
40,"Joe Biden",46.7395582189783,1421,"VT"
41,"Donald Trump",38.7319305958226,1257,"HI"
42,"Kamala Harris",34.6699105016887,1159,"CA"
43,"Kamala Harris",35.9771198406816,719,"MS"
44,"Joe Biden",33.1884267367423,510,"AZ"
45,"Kamala Harris",41.7113420832902,962,"CA"
46,"Joe Biden",32.9755595419556,755,"NH"
